prompt_id,ctx,layer,seed,prompt_tokens,gen_tokens,ppl,nll_true_next,seconds
seq_0209,64,18,44,64,16,2.5973635534463435,4.085516929626465,0.6763107497245073
seq_0209,256,18,44,256,16,1.469243945965025,5.582616806030273,0.6483375485986471
seq_0210,64,31,44,64,16,3.3536240369664703,10.156058311462402,0.6693863961845636
seq_0210,256,31,44,256,16,1.001427174559519,2.5152843591058627e-05,0.6758312322199345
seq_0211,64,4,44,64,16,1.3253197556478957,0.6845148205757141,0.6301081515848637
seq_0211,256,4,44,256,16,1.6858779477960724,7.1058125495910645,0.691654235124588
seq_0212,64,18,44,64,16,1.3288721765830172,0.04261135309934616,0.6522526573389769
seq_0212,256,18,44,256,16,1.752172966593499,5.531158240046352e-05,0.690374881029129
seq_0213,64,31,44,64,16,1.755544275673221,7.249845027923584,0.63728092238307
seq_0213,256,31,44,256,16,1.0003156370844357,0.001975610153749585,0.6749999914318323
seq_0214,64,4,44,64,16,1.4823972491467774,0.915035605430603,0.675794679671526
seq_0214,256,4,44,256,16,1.805255038450636,0.8288896083831787,0.6497713066637516
seq_0215,64,18,44,64,16,2.1537389973682926,7.533491134643555,0.6511267777532339
seq_0215,256,18,44,256,16,1.0429324811282286,5.3165931603871286e-05,0.6765237525105476
