prompt_id,layer,ctx,k_kind,rel,bit_class,kv_head,abs_delta_k,max_es_u0,max_es_future,future_amplified,n_queries,fail_s_L1,fail_s_L2,fail_s_L16,fail_s_full
seq_0048,4,256,bitflip,,exponent,4,2.498948632075642e+38,2.8127425067139697e+37,inf,True,16,True,True,True,True
seq_0048,4,256,bitflip,,mantissa,4,0.00390625,0.0004398822784423828,0.0010250210762023926,True,16,True,True,True,True
seq_0049,18,64,numeric,1e-06,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0049,18,64,numeric,1e-05,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0049,18,64,numeric,0.0001,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0049,18,64,numeric,0.001,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0049,18,64,numeric,0.01,,7,0.0029296875,0.00011539459228515625,0.00041294097900390625,True,16,True,True,True,True
seq_0049,18,64,numeric,0.1,,7,0.0244140625,0.0009608268737792969,0.0034389495849609375,True,16,True,True,True,True
seq_0049,18,64,bitflip,,sign,7,0.494140625,0.019449710845947266,0.06960916519165039,True,16,True,True,True,True
seq_0049,18,64,bitflip,,exponent,7,8.407367073339593e+37,3.309176221971138e+36,1.2888370982399638e+37,True,16,True,True,True,True
seq_0049,18,64,bitflip,,mantissa,7,0.0009765625,3.838539123535156e-05,0.00013780593872070312,True,16,True,True,True,True
seq_0049,18,256,numeric,1e-06,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0049,18,256,numeric,1e-05,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0049,18,256,numeric,0.0001,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0049,18,256,numeric,0.001,,7,0.0,0.0,0.0,False,16,False,False,False,False
seq_0049,18,256,numeric,0.01,,7,0.0078125,0.0013594627380371094,0.002319812774658203,True,16,True,True,True,True
seq_0049,18,256,numeric,0.1,,7,0.08203125,0.01427459716796875,0.02435755729675293,True,16,True,True,True,True
seq_0049,18,256,bitflip,,sign,7,1.6796875,0.2922900915145874,0.498748779296875,True,16,True,True,True,True
seq_0049,18,256,bitflip,,exponent,7,2.857840190937569e+38,inf,inf,False,16,True,True,True,True
seq_0049,18,256,bitflip,,mantissa,7,0.00390625,0.0006797313690185547,0.0011599063873291016,True,16,True,True,True,True
seq_0050,31,64,numeric,1e-06,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0050,31,64,numeric,1e-05,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0050,31,64,numeric,0.0001,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0050,31,64,numeric,0.001,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0050,31,64,numeric,0.01,,0,0.015625,0.0019636154174804688,0.003582477569580078,True,16,True,True,True,True
seq_0050,31,64,numeric,0.1,,0,0.140625,0.017673492431640625,0.03223896026611328,True,16,True,True,True,True
seq_0050,31,64,bitflip,,sign,0,2.828125,0.35543107986450195,0.6483688354492188,True,16,True,True,True,True
seq_0050,31,64,bitflip,,exponent,0,nan,nan,nan,False,16,True,True,True,True
seq_0050,31,64,bitflip,,mantissa,0,0.0078125,0.0009818077087402344,0.0017914772033691406,True,16,True,True,True,True
seq_0050,31,256,numeric,1e-06,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0050,31,256,numeric,1e-05,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0050,31,256,numeric,0.0001,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0050,31,256,numeric,0.001,,0,0.0,0.0,0.0,False,16,False,False,False,False
seq_0050,31,256,numeric,0.01,,0,0.0009765625,0.00011992454528808594,0.0002498626708984375,True,16,True,True,True,True
seq_0050,31,256,numeric,0.1,,0,0.013671875,0.001680612564086914,0.0034928321838378906,True,16,True,True,True,True
seq_0050,31,256,bitflip,,sign,0,0.27734375,0.03408980369567871,0.07086038589477539,True,16,True,True,True,True
seq_0050,31,256,bitflip,,exponent,0,4.718759385036451e+37,5.800064966735951e+36,1.2056315552024234e+37,True,16,True,True,True,True
seq_0050,31,256,bitflip,,mantissa,0,0.0009765625,0.00011992454528808594,0.0002498626708984375,True,16,True,True,True,True
seq_0051,4,64,numeric,1e-06,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0051,4,64,numeric,1e-05,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0051,4,64,numeric,0.0001,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0051,4,64,numeric,0.001,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0051,4,64,numeric,0.01,,5,0.015625,0.005157351493835449,0.006042152643203735,True,16,True,True,True,True
seq_0051,4,64,numeric,0.1,,5,0.21875,0.0722038745880127,0.08761151134967804,True,16,True,True,True,True
seq_0051,4,64,bitflip,,sign,5,4.46875,1.475023865699768,1.7280610799789429,True,16,True,True,True,True
seq_0051,4,64,bitflip,,exponent,5,2.234375,0.7375120520591736,0.8948888778686523,True,16,True,True,True,True
seq_0051,4,64,bitflip,,mantissa,5,0.015625,0.005157470703125,0.006257951259613037,True,16,True,True,True,True
seq_0051,4,256,numeric,1e-06,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0051,4,256,numeric,1e-05,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0051,4,256,numeric,0.0001,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0051,4,256,numeric,0.001,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0051,4,256,numeric,0.01,,5,0.001953125,0.0004909634590148926,0.0005395412445068359,True,16,True,True,True,True
seq_0051,4,256,numeric,0.1,,5,0.01953125,0.0049092769622802734,0.0053948163986206055,True,16,True,True,True,True
seq_0051,4,256,bitflip,,sign,5,0.3984375,0.10014903545379639,0.1100538969039917,True,16,True,True,True,True
seq_0051,4,256,bitflip,,exponent,5,6.779062778503071e+37,1.7039470343931008e+37,1.8724692657778017e+37,True,16,True,True,True,True
seq_0051,4,256,bitflip,,mantissa,5,0.0009765625,0.0002454519271850586,0.00026977062225341797,True,16,True,True,True,True
seq_0052,18,64,numeric,1e-06,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0052,18,64,numeric,1e-05,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0052,18,64,numeric,0.0001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0052,18,64,numeric,0.001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0052,18,64,numeric,0.01,,1,0.03125,0.004315853118896484,0.004618167877197266,True,16,True,True,True,True
seq_0052,18,64,numeric,0.1,,1,0.234375,0.03236865997314453,0.03463459014892578,True,16,True,True,True,True
seq_0052,18,64,bitflip,,sign,1,4.75,0.6560072898864746,0.7019286155700684,True,16,True,True,True,True
seq_0052,18,64,bitflip,,exponent,1,2.375,0.3280038833618164,0.3509640693664551,True,16,True,True,True,True
seq_0052,18,64,bitflip,,mantissa,1,0.015625,0.0021576881408691406,0.0023088455200195312,True,16,True,True,True,True
seq_0052,18,256,numeric,1e-06,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0052,18,256,numeric,1e-05,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0052,18,256,numeric,0.0001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0052,18,256,numeric,0.001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0052,18,256,numeric,0.01,,1,0.03125,0.005826473236083984,0.008717894554138184,True,16,True,True,True,True
seq_0052,18,256,numeric,0.1,,1,0.265625,0.04952430725097656,0.07410287857055664,True,16,True,True,True,True
seq_0052,18,256,bitflip,,sign,1,5.1875,0.9671792984008789,1.4471862316131592,True,16,True,True,True,True
seq_0052,18,256,bitflip,,exponent,1,2.59375,0.48358964920043945,0.7235932350158691,True,16,True,True,True,True
seq_0052,18,256,bitflip,,mantissa,1,0.015625,0.0029129981994628906,0.004359006881713867,True,16,True,True,True,True
seq_0053,31,64,numeric,1e-06,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0053,31,64,numeric,1e-05,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0053,31,64,numeric,0.0001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0053,31,64,numeric,0.001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0053,31,64,numeric,0.01,,1,0.0078125,0.00027179718017578125,0.0007390975952148438,True,16,True,True,True,True
seq_0053,31,64,numeric,0.1,,1,0.08203125,0.00284576416015625,0.007760047912597656,True,16,True,True,True,True
seq_0053,31,64,bitflip,,sign,1,1.65625,0.05747032165527344,0.15668582916259766,True,16,True,True,True,True
seq_0053,31,64,bitflip,,exponent,1,2.8179633510640217e+38,9.778144599318069e+36,2.6658821423160888e+37,True,16,True,True,True,True
seq_0053,31,64,bitflip,,mantissa,1,0.00390625,0.00013637542724609375,0.000370025634765625,True,16,True,True,True,True
seq_0053,31,256,numeric,1e-06,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0053,31,256,numeric,1e-05,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0053,31,256,numeric,0.0001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0053,31,256,numeric,0.001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0053,31,256,numeric,0.01,,1,0.03125,0.0030641555786132812,0.010660171508789062,True,16,True,True,True,True
seq_0053,31,256,numeric,0.1,,1,0.28125,0.027578353881835938,0.09594154357910156,True,16,True,True,True,True
seq_0053,31,256,bitflip,,sign,1,5.53125,0.5423712730407715,1.8868408203125,True,16,True,True,True,True
seq_0053,31,256,bitflip,,exponent,1,2.765625,0.27118539810180664,0.94342041015625,True,16,True,True,True,True
seq_0053,31,256,bitflip,,mantissa,1,0.015625,0.0015320777893066406,0.005330085754394531,True,16,True,True,True,True
seq_0054,4,64,numeric,1e-06,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0054,4,64,numeric,1e-05,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0054,4,64,numeric,0.0001,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0054,4,64,numeric,0.001,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0054,4,64,numeric,0.01,,4,0.0078125,0.0008469820022583008,0.0032584667205810547,True,16,True,True,True,True
seq_0054,4,64,numeric,0.1,,4,0.0625,0.006775856018066406,0.026067495346069336,True,16,True,True,True,True
seq_0054,4,64,bitflip,,sign,4,1.265625,0.13721126317977905,0.5278701782226562,True,16,True,True,True,True
seq_0054,4,64,bitflip,,exponent,4,2.1533493531715637e+38,2.3345284166212314e+37,inf,True,16,True,True,True,True
seq_0054,4,64,bitflip,,mantissa,4,0.00390625,0.0004234910011291504,0.0016291141510009766,True,16,True,True,True,True
seq_0054,4,256,numeric,1e-06,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0054,4,256,numeric,1e-05,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0054,4,256,numeric,0.0001,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0054,4,256,numeric,0.001,,4,0.0,0.0,0.0,False,16,False,False,False,False
seq_0054,4,256,numeric,0.01,,4,0.0078125,0.0018990039825439453,0.0037331879138946533,True,16,True,True,True,True
