prompt_id,layer,ctx,kv_head,k_kind,rel,bit_class,abs_delta_k,ek_bin,n_queries,max_es_u0,max_es_future,max_es_lifetime,future_amplified,gain_u0,gain_p50,n_es_nonfinite,fail_s_L1,fail_s_L2,fail_s_L16,fail_s_Lfull
seq_0074,31,64,0,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0074,31,64,0,numeric,0.01,,0.015625,"[0.01,0.1)",16,0.0004208087921142578,0.002352118492126465,0.002352118492126465,True,0.02693176269358887,0.06871032714404005,0,True,True,True,True
seq_0074,31,64,0,numeric,0.1,,0.203125,"[0.1,1)",16,0.00547027587890625,0.030577659606933594,0.030577659606933594,True,0.02693058894217511,0.06870797964208963,0,True,True,True,True
seq_0074,31,64,0,bitflip,,sign,4.125,"[1,10)",16,0.11108922958374023,0.6209625005722046,0.6209625005722046,True,0.026930722323324437,0.06870813080757093,0,True,True,True,True
seq_0074,31,64,0,bitflip,,exponent,2.0625,"[1,10)",16,0.055544376373291016,0.3104811906814575,0.3104811906814575,True,0.02693060672643107,0.06870813080755428,0,True,True,True,True
seq_0074,31,64,0,bitflip,,mantissa,0.015625,"[0.01,0.1)",16,0.0004208087921142578,0.002352118492126465,0.002352118492126465,True,0.02693176269358887,0.06871032714404005,0,True,True,True,True
seq_0074,31,256,0,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0074,31,256,0,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0074,31,256,0,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0074,31,256,0,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0074,31,256,0,numeric,0.01,,0.00390625,"[0.001,0.01)",16,0.0003428459167480469,0.00047779083251953125,0.00047779083251953125,True,0.08776855466503124,0.07519531248075,0,True,True,True,True
seq_0074,31,256,0,numeric,0.1,,0.029296875,"[0.01,0.1)",16,0.0025691986083984375,0.003459453582763672,0.003459453582763672,True,0.08769531249700667,0.0752766927057639,0,True,True,True,True
seq_0074,31,256,0,bitflip,,sign,0.6015625,"[0.1,1)",16,0.05275535583496094,0.07352542877197266,0.07352542877197266,True,0.08769721489433474,0.07526823762162813,0,True,True,True,True
seq_0074,31,256,0,bitflip,,exponent,1.0235055567543852e+38,"[10,inf)",16,8.975919522867236e+36,1.250974656582227e+37,1.250974656582227e+37,True,0.08769780939275568,0.07526820046561104,0,True,True,True,True
seq_0074,31,256,0,bitflip,,mantissa,0.001953125,"[0.001,0.01)",16,0.000171661376953125,0.00023889541625976562,0.00023889541625976562,True,0.087890624955,0.0751953124615,0,True,True,True,True
seq_0075,4,64,5,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0075,4,64,5,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0075,4,64,5,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0075,4,64,5,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0075,4,64,5,numeric,0.01,,0.0078125,"[0.001,0.01)",16,0.0008955001831054688,0.0019207000732421875,0.0019207000732421875,True,0.11462402342282813,0.1450195312314375,0,True,True,True,True
seq_0075,4,64,5,numeric,0.1,,0.06640625,"[0.01,0.1)",16,0.007611751556396484,0.016324520111083984,0.016324520111083984,True,0.11462402343577388,0.1450267118544337,0,True,True,True,True
seq_0075,4,64,5,bitflip,,sign,1.3203125,"[1,10)",16,0.15134525299072266,0.3245725631713867,0.3245725631713867,True,0.1146283572946617,0.14501266930924667,0,True,True,True,True
seq_0075,4,64,5,bitflip,,exponent,2.246395312876508e+38,"[10,inf)",16,2.5750123837495685e+37,2.7456457604438895e+37,2.7456457604438895e+37,True,0.11462863944691314,0.11462863944691314,0,True,True,True,True
seq_0075,4,64,5,bitflip,,mantissa,0.00390625,"[0.001,0.01)",16,0.0004477500915527344,0.0009603500366210938,0.0009603500366210938,True,0.11462402340815624,0.14501953121287497,0,True,True,True,True
seq_0075,4,256,5,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0075,4,256,5,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0075,4,256,5,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0075,4,256,5,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0075,4,256,5,numeric,0.01,,0.0009765625,"[0.0001,0.001)",16,0.000202178955078125,0.0002884864807128906,0.0002884864807128906,True,0.207031249788,0.1821289060635,0,True,True,True,True
seq_0075,4,256,5,numeric,0.1,,0.013671875,"[0.01,0.1)",16,0.0028319358825683594,0.004040241241455078,0.004040241241455078,True,0.20713588168127806,0.18226841516523978,0,True,True,True,True
